UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 13:06 ?        00:00:00 /sbin/init
root           2       1  0 13:06 ?        00:00:00 /init
root           6       2  0 13:06 ?        00:00:00 plan9 --control-socket 7 --log-level 4 --server-fd 8 --pipe-fd 10 --log-truncate
root          39       1  0 13:06 ?        00:00:00 /usr/lib/systemd/systemd-journald
root          89       1  0 13:06 ?        00:00:00 /usr/lib/systemd/systemd-udevd
systemd+     163       1  0 13:06 ?        00:00:00 /usr/lib/systemd/systemd-resolved
systemd+     167       1  0 13:06 ?        00:00:00 /usr/lib/systemd/systemd-timesyncd
root         173       1  0 13:06 ?        00:00:00 /usr/sbin/cron -f -P
message+     174       1  0 13:06 ?        00:00:00 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         181       1  0 13:06 ?        00:00:00 /usr/lib/systemd/systemd-logind
root         183       1  0 13:07 ?        00:00:00 /usr/libexec/wsl-pro-service -vv
root         185       1  0 13:07 hvc0     00:00:00 /sbin/agetty -o -p -- \u --noclear --keep-baud - 115200,38400,9600 vt220
syslog       190       1  0 13:07 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
root         205       1  0 13:07 tty1     00:00:00 /sbin/agetty -o -p -- \u --noclear - linux
root         214       1  0 13:07 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root         292       2  0 13:07 ?        00:00:00 /init
root         295     292  0 13:07 ?        00:00:00 /init
leegyeo+     297     295  0 13:07 pts/0    00:00:00 -bash
root         298       2  0 13:07 pts/1    00:00:00 /bin/login -f
leegyeo+     345       1  0 13:07 ?        00:00:00 /usr/lib/systemd/systemd --user
leegyeo+     346     345  0 13:07 ?        00:00:00 (sd-pam)
leegyeo+     357     298  0 13:07 pts/1    00:00:00 -bash
leegyeo+     629     297  0 13:41 pts/0    00:00:00 ps -ef
